"Group","Item","Page","Guidance","Done","Notes"
"General","Audience & Purpose","7","Understand the intended audience and scope of the Nutanix Security Guide. This document is written for security-minded people who are responsible for architecting, managing, and supporting infrastructures, especially those who want to address security without adding more human resources or additional processes to their datacenters. The Nutanix Security Guide offers an overview of the security development life cycle (SecDL) and host of security features that Nutanix supports. It also demonstrates how Nutanix complies with security regulations to streamline infrastructure security management. In addition, the guide covers the technical requirements that are site-specific or compliance standards that users must adhere to that are not enabled by default. From AOS 6.8 version onward, the underlying operating system upgrades to RHEL 8, which does not support TCP Wrapper. Therefore, AOS version 6.8 or later versions do not include TCP Wrapper. For any assistance in configuring an alternative to TCP Wrapper in AOS 6.8 or later version, contact Nutanix Support. ¶ Note: The hardening of the guest OS or any applications running on top of the Nutanix infrastructure is beyond the scope of this guide. Nutanix recommends that you refer to the documentation of the products that you deployed in your Nutanix environment.","",""
"Nutanix Security Infrastructure","Security Configuration Management Automation Implementation","8","The Nutanix platform and all its products leverage the Security Configuration Management Automation (SCMA) framework to continuously inspect services for deviations from established security policies. For both Nutanix storage and AHV, Nutanix uses SCMA to check multiple security entities, including those defined in relevant STIGs (Security Technical Implementation Guides). The system automatically reports log inconsistencies and reverts them to the baseline. The SCMA has the lowest system priority within the virtual storage controller, ensuring that security checks do not interfere with platform performance. ¶ Note: You can modify only the SCMA schedule. The system runs the AIDE schedule on a fixed weekly interval. For more information on how to change the SCMA schedule for AHV or Controller VM (CVM), see the Security Hardening on page 86 or Hardening Instructions Using nCLI on page 174.","",""
"Nutanix Security Infrastructure","RHEL 9 STIG Implementation in Nutanix Controller VM","8","Nutanix Controller VMs take advantage of SaltStack and Security Configuration Management Automation (SCMA) to self-heal any deviation from the security baseline configuration. If any component of the system deviates from the security baseline,the component is set back to the supported security settings without any intervention. Nutanix set up the Controller VM to support STIG compliance with the RHEL 9 STIG as published by DISA. STIG rules cover various security configurations, including the boot loader, packages, file system, boot process, services, file ownership, authentication, kernel, and logging. ¶ For example, STIG rules for authentication prohibit direct root login, lock system accounts other than root, enforce several password maintenance details, cautiously configure SSH, enable screen-locking, configure user shell defaults, and display warning banners. ¶ For more information on Nutanix STIGs, see Security Dashboard STIG Guidance Reference and Security Dashboard on page 83.","",""
"Nutanix Security Infrastructure","Generating a STIG Compliance Report","9","You can leverage the OpenSCAP report to ensure that the Controller VM is STIG compliant. About this task To generate a STIG compliance report, follow these steps: Procedure ¶ 1. SSH into any of the Controller VMs (CVMs) as a nutanix user: ¶ $ ssh nutanix@cvm_ip_address ¶ 2. Create an output directory for the STIG report: ¶ nutanix@cvm$ mkdir /tmp/stig_report ¶ 3. Generate the STIG compliance report: ¶ nutanix@cvm$ sudo python3 -B /home/nutanix/config/security/stig_scripts/ stig_scan_driver.py /home/nutanix/config/security/stig_scripts/ U_RHEL_8_V1R11_STIG_SCAP_1-2_Benchmark.xml /tmp/stig_report/ The STIG compliance report is generated in the /tmp/stig_report directory. ¶ Note: Depending on the size of your environment, the STIG report generation script runs for approximately 60 to 90 minutes to completion.","",""
"Nutanix Security Infrastructure","Viewing Security Updates","9","Nutanix Security Advisories provide detailed information on the available security fixes and updates, including the vulnerability description and affected product or version. About this task To view the list of security advisories, follow these steps: Procedure ¶ 1. Log in to Nutanix Support Portal. ¶ 2. From the Entities Menu, select Security > Advisories. ¶ The system displays the list of security advisories.","",""
"Security Management Using Prism Central > Identity and Access Management","Identity and Access Management Features","10","Understand identity and access management (IAM) features in Prism Central: Highly Scalable Architecture: Based on Kubernetes open source platform, IAM uses independent pods for ¶ authentication, authorization, and data storage or replication, and supports rolling upgrades to ensure zero downtime. Secure by Design: IAM uses mutual TLS (mTLS) to secure communication between components. The Microservices Infrastructure in Prism Central provisions the certificates. ¶ Support for Multiple SAML Identity Providers (IDPs): IAM supports SAML-based authentication with the following IDPs: ¶ Microsoft Active Directory Federation Services (ADFS) Microsoft Entra ID (formerly Azure Active Directory) ¶ Note: IAM supports only SAML-based authentication with Microsoft Entra ID. IAM does not support LDAP- based authentication with Microsoft Entra ID. ¶ Okta PingOne Shibboleth Keycloak Users can log in only from the Prism Central web console. IAM does not support IDP-initiated authentication workflows from an identity provider (IDP) web page or portal. Nutanix supports SAML 2.0 compliant IDPs.","",""
"Security Management Using Prism Central > Identity and Access Management","Identity and Access Management Requirements","11","Understand software and infrastructure requirements of identity and access management (IAM) feature: ¶ For IAM specific minimum software support and requirements, see the Prism Central release notes. For Prism Central, Prism Element Clusters, and Microservices infrastructure requirements, see the Microservices ¶ Infrastructure in Prism Central Infrastructure Guide.","",""
"Security Management Using Prism Central > Identity and Access Management","Identity and Access Management Considerations","11","Understand the considerations of the identity and access management (IAM) feature: ¶ After you upgrade to pc.2022.9 or later, log in to Prism Central for the first time using your Nutanix local account default admin credentials. You can use Active Directory (AD) account for subsequent logins. ¶ IAM automatically migrates existing authentication and authorization settings, including Common Access Card (CAC) configurations. ¶ IAM does not support signed single logout (SLO), leading to an error on the SAML Microsoft Active Directory Federation Services (ADFS) page when you logout of Prism Central. ¶ If you previously enabled Microservices Infrastructure and IAM, both the services remain enabled after upgrading Prism Central, provided the cluster meets all requirements. Contact Nutanix Support for custom configurations. ¶ Note: After upgrade to pc.2022.9 if the Security Assertion Markup Language (SAML) IDP is configured, you need to download the Prism Central metadata and re-configure the SAML IDP to recognize Prism Central as the service provider. See Updating ADFS When Using SAML Authentication on page 24 to create the required rules for ADFS. ¶ Maximum user session lifetime is eight hours with a 15-minute idle timeout. After 15 minutes of idle timeout, IAM logs out the user and requires re-authentication. ¶ IAM supports client authentication only when CAC authentication is enabled. Ensure port 9441 is open in the firewall for CAC client authentication. ¶ During CAC authentication, certificate checks can fail if certificates are invalid or the Online Certificate Status Protocol (OCSP) server is unreachable. As a result, the browser can show a generic error before identity and access management (IAM) processes the request. ¶ IAM is available only on on-premise Prism Central deployments running on AOS clusters with AHV or ESXi. Other hypervisors are not supported. ¶ You cannot delete local or directory users from the Prism Central web console. However, you can disable and re- enable local or directory users. ¶ Note: Use nCLI to delete Prism Central users or user groups. For more information, see . Deleting a User or User Group on page 61. ¶ In directory services such as Active Directory or OpenLDAP, IAM group-based authentication and authorization depend on the group's full distinguished name (DN). Changing the DN by renaming or moving the group causes the system to treat it as a different group, which can result in role mapping and access issues. ¶ When you change the scope in an authorization policy to include or exclude individual entities, it takes approximately five minutes for the filtered items to update and reflect on the entity page. During this time, the entities might display incorrectly. ¶ After you upgrade to pc.2024.1 or later, IAM migrates built-in roles user admin and viewer to new authorization policies with similar permissions. If users were assigned these roles, IAM automatically migrates the role mapping configuration as new authorization policies. ¶ Note: IAM automatically migrates the existing role mapping data into equivalent authorization policies, that are renamed using the format Role_Mapping_<Role_Name>_<timestamp>. These migrated policies are available on the Authorization Policies page in Prism Central. ¶ The Role Details page view does not display the associated authorization policies and users. ¶ In an authorization policy configuration, if you select All Entity Types for the entity filter, scope of the authorization policy is limited to specific clusters or categories. The authorization policy does not grant access to Prism Central entities that do not have cluster-scoped attributes. To include such entities, explicitly allow access for those entities in the authorization policy configuration. For more information on list of entities that do not support cluster or category-based scoping, see Cluster or Category Independent Entities on page 44. ¶ Starting from pc.7.3, IAM operations include several changes. For more information, see Changes to Registered Operations and Custom Role Migration in Prism Central pc.7.3 on page 45.","",""
"Security Management Using Prism Central > Identity Provider Configuration in Prism Central","Configuring Active Directory Authentication in Prism Central","14","Configure Active Directory (AD) as the identity provider in Prism Central to enable AD credential-based login for users. ¶ Before you begin Before you configure AD in Prism Central, consider the following points: ¶ The service account for AD must have full read permissions on the directory service. Users with the User must change password at next logon attribute enabled cannot authenticate to Prism Central. ¶ Ensure that users change their password on a domain workstation before logging into Prism Central. If SSL is enabled on the AD server, ensure that Prism Central's firewall allows access to the appropriate port. Use of the Protected Users group is not supported for Prism Central authentication. For more information, see ¶ Guidance about how to configure protected accounts on Microsoft documentation website. Prism Central supports AD with LDAP v2 on Windows Server 2012 R2, Windows Server 2016, and Windows ¶ Server 2019. Important: Prism Central does not support insecure SSLv2 and SSLv3 ciphers. To prevent the SSL fallback situation and being denied access to Prism Central, configure the following settings in your browser: ¶ Disable SSLv2 and SSLv3 Enable TLS ¶ About this task To configure AD in Prism Central, follow these steps: Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the IdP Configuration tab. ¶ 4. Click Add Identity Provider > Active Directory/OpenLDAP. ¶ The Configure Directory window appears. ¶ 5. In the Configure Directory window, enter the following information: ¶ Directory Type: From the dropdown list, select Active Directory. Name: Enter a name to identify the directory service on Prism Central. Domain: Enter the domain or sub-domain of the directory service. ¶ For example nutanix.com Directory URL: Enter the URL address of the directory in ldap://host:ldap_port_num format. ¶ host: The host value is either the IP address or fully qualified domain name. ldap_port_num: The default LDAP port number is 389. Nutanix also supports ports 636 for LDAPS, 3268 and 3269 for LDAP/S global catalog servers. Examples: ¶ Default LDAP (Port 389), when the configuration is single domain, single forest, and not using SSL: ldap://ldap.example.com or ldap://10.1.4.111:389 ¶ LDAPS (Port 636), when the configuration is single domain, single forest, and using SSL: ldaps://ldap.example.com or ldaps://10.1.4.111:636 LDAPS requires that all AD Domain Controllers have properly installed SSL certificates. ¶ LDAP/S Global Catalog non-SSL (Port 3268), when the configuration is multiple domain, single forest, and not using SSL: ldap://globalcatalog.example.com:3268 or ldap://10.1.4.111:3268 ¶ LDAP/S Global Catalog SSL/TLS encrypted (Port 3269), when the configuration is multiple domain, single forest, and using SSL: ldaps://globalcatalog.example.com:3269 or ldaps://10.1.4.111:3269 ¶ When the directory URL is set to the domain FQDN, LDAP authentication can fail if any directory server becomes unavailable. For high availability (HA), configure an LDAP HA cluster and specify the cluster virtual IP (VIP) address in the directory URL instead of the domain FQDN. For more information, see KB-12568. When constructing your LDAP/S URL to use a global catalog server, ensure that the domain control IP address or name belongs to a global catalog server within the domain that you are configuring. Otherwise, queries over port 3268 or 3269 might fail. Cross-forest trust between multiple AD forests is not supported. LDAPS support does not require custom certificates or certificate trust import. For the complete list of required ports, see Port Reference. Search Type: From the dropdown list, select either Non Recursive (Default) or Recursive. When users are present in the first level group, select Non Recursive (Default). When you have multi level group assignments, select Recursive. A recursive search performs a multi level or nested search during authentication, which might cause slowness. If you experience slowness, select Non- Recursive (Default). Service Account Username: Enter the service account user name in user_name@domain.com format. ¶ Note: A service account is created to run only a particular service or application with the credentials specified for the account. According to the requirement of the service or application, the administrator can limit access ¶ to the service account. The service account is under the Managed Service Accounts in the AD server. An application or service uses the service account to interact with the operating system. ¶ Service Account Password: Enter the service account password. ¶ Note: Be sure to update the service account credentials if the password changes or you use a different service account. User authentication and authorization requests fail if the service account password is updated in Active Directory but not in Prism Central. ¶ 6. Click Save. ¶ What to do next By default, permissions are not granted to the AD users. To grant permissions, you must create an authorization policy. For more information, see Authorization Policies on page 57.","",""
"Security Management Using Prism Central > Identity Provider Configuration in Prism Central","Configuring OpenLDAP Authentication in Prism Central","17","Configure OpenLDAP as the identity provider in Prism Central to enable OpenLDAP credential-based login for users. ¶ Before you begin Before you configure OpenLDAP in Prism Central, consider the following points: ¶ The service account for OpenLDAP must have full read permission on the directory service. Prism Central uses a service account to query OpenLDAP directories for user information and does not currently ¶ support certificate-based authentication with the OpenLDAP directory. The values for the User Object Class, User Search Base, Username Attribute, Group Object Class, ¶ Group Search Base, Group Member Attribute, and Group Member Attribute fields depend on your OpenLDAP configuration. Prism Central supports OpenLDAP with LDAP v2. ¶ Important: Prism Central does not support insecure SSLv2 and SSLv3 ciphers. To prevent the SSL fallback situation and being denied access to Prism Central, configure the following settings in your browser: ¶ Disable SSLv2 and SSLv3 Enable TLS ¶ About this task To configure OpenLDAP in Prism Central, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the IdP Configuration tab. ¶ 4. Click Add Identity Provider > Active Directory/OpenLDAP. ¶ The Configure Directory window appears. ¶ 5. In the Configure Directory window, enter the following information: ¶ Directory Type: From the dropdown list, select OpenLDAP. Name: Enter a name to identify the directory service on Prism Central. Domain: Enter the domain or sub-domain of the directory service. ¶ For example nutanix.com Directory URL: Enter the URL address of the directory in ldap://host:ldap_port_num format. ¶ host: The host value is either the IP address or fully qualified domain name. ldap_port_num: The default LDAP port number is 389. Nutanix also supports ports 636 for LDAPS. Examples: ¶ Default LDAP Port (389), when the configuration is single domain, single forest, and not using SSL: ldap://ldap.example.com or ldap://10.1.4.111:389 ¶ LDAPS (Port 636), when the configuration is single domain, single forest, and using SSL: ldaps://ldap.example.com or ldaps://10.1.4.111:636 ¶ When the directory URL is set to the domain FQDN, LDAP authentication can fail if any directory server becomes unavailable. For high availability (HA), configure an LDAP HA cluster and specify the cluster virtual IP (VIP) address in the directory URL instead of the domain FQDN. For more information, see KB-12568. LDAPS support does not require custom certificates or certificate trust import. For the complete list of required ports, see Port Reference. Search Type: From the dropdown list, select either Non Recursive(Default) or Recursive. When users are present in the first level group, you can select Non Recursive(Default). When you have multi level group assignments, you can select Recursive. A recursive search performs a multi level or nested search during authentication, which might cause slowness. If you experience slowness, select Non-Recursive (Default). User Object Class: Enter the object class of users in the directory service. For example: user, person, inetOrgPerson, organizationalPerson, or posixAccount User Search Base: Enter the base Distinguished Name (DN) to search for users. The base DN must include the domain components, each represented in the format of dc=domain_component, separated by commas. For example, if your domain name is nutanix.com, then base DN includes: ou=users,dc=nutanix,dc=com cn=users,dc=nutanix,dc=com Username Attribute: Enter the attribute of the user object class which uniquely identifies a user in the directory. For example: uid Group Object Class: Enter the object class of groups in the directory service. For example: posixGroup or groupOfNames Group Search Base: Enter the base DN to search for user groups. ¶ The base DN must include the domain components, each represented in the format of dc=domain_component, separated by commas. For example, if your domain name is nutanix.com, then base DN includes: cn=groups,dc=nutanix,dc=com ou=groups,dc=nutanix,dc=com Group Member Attribute: Enter the attribute of the group object that holds the user association. For example: member or memberUid Group Member Attribute Value: Enter the attribute of the user object that is used to configure the membership in the group object. For example: uid Service Account Username: Enter the service account user name in cn=username, dc=example, dc=com format. For example cn=username, dc=nutanix, dc=com ¶ Note: A service account is created to run only a particular service or application with the credentials specified for the account. According to the requirement of the service or application, the administrator can limit access to the service account. The service account is under the Managed Service Accounts in the OpenLDAP server. An application or service uses the service account to interact with the operating system. ¶ Service Account Password: Enter the service account password. ¶ Note: Be sure to update the service account credentials if the service account password changes or a different service account is used. User authentication and authorization requests fail if the service account password is updated in OpenLDAP but not in Prism Central. ¶ 6. Click Save. ¶ What to do next By default, permissions are not granted to the OpenLDAP users. To grant permissions, you must create an authorization policy. For more information, see Authorization Policies on page 57.","",""
